1003-3,Indirect antiglobulin test.complement specific reagent,PrThr,Pt,Ser/Plas,Ord,,BLDBK,2.73,MIN,,ACTIVE,,1,,,,,,Antiglob; BLOOD BANK; Comp; Complmt; Hematology; Heme; IAGT; IAT; IAT Comp-Sp Reag; IDC; Ind; Ind Coombs; Indir; Indirect Coomb; Indirect Coombs; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; Spec; SR; UniversalLabOrders,IAT Comp-Sp Reag SerPl Ql,Both,,,,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,,,,"Changed Order_Obs from Observation Only to fit current order use cases.; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",392,108,,,,,,1.0,,Indirect antiglobulin test.complement specific reagent Ql
1004-1,Direct antiglobulin test.complement specific reagent,PrThr,Pt,RBC,Ord,,BLDBK,2.73,MIN,,ACTIVE,,1,,,,,,Antiglob; BLOOD BANK; Comp; Complmt; DAGT; DAT; DAT Comp-Sp Reag; DCT; Dir; Direct Coomb; Direct coombs test; Erythrocytes; Hematology; Heme; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Red blood cells; Red blood corpusles; Screen; Spec,DAT Comp-Sp Reag RBC Ql,Both,,,,Direct antiglobulin test.complement specific reagent [Presence] on Red Blood Cells,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",2889,0,,,,,,1.0,,Direct antiglobulin test.complement specific reagent Ql (RBC)
1005-8,Indirect antiglobulin test.IgG specific reagent,PrThr,Pt,Ser/Plas,Ord,,BLDBK,2.73,MIN,,ACTIVE,,1,,,,,,Antiglob; BLOOD BANK; Hematology; Heme; IAGT; IAT; IAT IgG-Sp Reag; IDC; Immune globulin G; Immunoglobulin G; Ind; Ind Coombs; Indir; Indirect Coomb; Indirect Coombs; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; Spec; SR,IAT IgG-Sp Reag SerPl Ql,Observation,,,,Indirect antiglobulin test.IgG specific reagent [Presence] in Serum or Plasma,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",2585,0,,,,,,1.0,,Indirect antiglobulin test.IgG specific reagent Ql
1006-6,Direct antiglobulin test.IgG specific reagent,Imp,Pt,RBC,Nom,,BLDBK,2.73,MIN,,ACTIVE,,1,,,,,,Antiglob; BLOOD BANK; DAGT; DAT; DAT IgG-Sp Reag; DCT; Dir; Direct Coomb; Direct coombs test; Erythrocytes; Hematology; Heme; Immune globulin G; Immunoglobulin G; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; Nominal; Point in time; Random; Red blood cells; Red blood corpusles; Spec,DAT IgG-Sp Reag RBC-Imp,Observation,,,,Direct antiglobulin test.IgG specific reagent [Interpretation] on Red Blood Cells,,,,,909,0,,,,,,1.0,,Direct antiglobulin test.IgG specific reagent (RBC) [Interp]
1007-4,Direct antiglobulin test.polyspecific reagent,PrThr,Pt,RBC,Ord,,BLDBK,2.73,MIN,Polyspecific (nonspecific) reagent detects both complement and IgG bound,ACTIVE,,1,,,,,,Antiglob; BLOOD BANK; DAGT; DAT; DAT Poly-Sp Reag; DCT; Dir; Direct antiglobulin test.non specific reagent; Direct Coomb; Direct coombs test; Erythrocytes; Hematology; Heme; Ordinal; Point in time; poly specific; PR; QL; Qual; Qualitative; Random; Red blood cells; Red blood corpusles; Screen; UniversalLabOrders,DAT Poly-Sp Reag RBC Ql,Both,,,,Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells,,,,"Release 2.70: COMPONENT: Updated ""poly specific"" to one word (no space).; Previous Releases: The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",953,0,,,,,,1.0,,Direct antiglobulin test.polyspecific reagent Ql (RBC)
1008-2,Indirect antiglobulin test.polyspecific reagent,PrThr,Pt,Ser/Plas,Ord,,BLDBK,2.73,MIN,Polyspecific (nonspecific) reagent detects both complement and IgG bound,ACTIVE,,1,,,,,,Antiglob; BLOOD BANK; Hematology; Heme; IAGT; IAT; IAT Poly-Sp Reag; IDC; Ind; Ind Coombs; Indir; Indirect Coomb; Indirect Coombs; Ordinal; Pl; Plasma; Plsm; Point in time; poly specific; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,IAT Poly-Sp Reag SerPl Ql,Observation,,,,Indirect antiglobulin test.polyspecific reagent [Presence] in Serum or Plasma,,,,"Release 2.70: COMPONENT: Updated ""poly specific"" to one word (no space).; Previous Releases: The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",2076,0,,,,,,1.0,,Indirect antiglobulin test.polyspecific reagent Ql
102133-6,Prunus dulcis Ab.IgE,PrThr,Pt,Ser,SemiQn,RAST,ALLERGY,2.75,ADD,,ACTIVE,,1,,,,,N,ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Almond; Amygdalus communis; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; f020; f20; Immune globulin E; Immunoglobulin E; Point in time; PR; Prunus amygdalus; Radioallergosorbent test; Random; Serum; SmQn; SR,Almond IgE RAST,Observation,,,,Almond IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),,,,,3403,0,,,,,,2.75,,Almond IgE RAST (S) [Presence]
102136-9,Alternaria alternata Ab.IgE,PrThr,Pt,Ser,SemiQn,RAST,ALLERGY,2.75,ADD,,ACTIVE,,1,,,,,N,A alternata; A tenuis; ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Alternaria tenuis; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Immune globulin E; Immunoglobulin E; m006; m6; Point in time; PR; Radioallergosorbent test; Random; Serum; SmQn; SR,A alternata IgE RAST,Observation,,,,Alternaria alternata IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),,,,,2358,0,,,,,,2.75,,A. alternata IgE RAST (S) [Presence]
102150-0,Fraxinus americana Ab.IgE,PrThr,Pt,Ser,SemiQn,RAST,ALLERGY,2.75,ADD,,ACTIVE,,1,,,,,N,ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Immune globulin E; Immunoglobulin E; Point in time; PR; Radioallergosorbent test; Random; Serum; SmQn; SR; t015; t15; White ash,White Ash IgE RAST,Observation,,,,White Ash IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),,,,,3145,0,,,,,,2.75,,White Ash IgE RAST (S) [Presence]
102153-4,Aspergillus fumigatus Ab.IgE,PrThr,Pt,Ser,SemiQn,RAST,ALLERGY,2.75,ADD,,ACTIVE,,1,,,,,N,A fumigatus; ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Antby; Anti; Antibodies; Antibody; Asperg; Aspergil; Aspergilis; Aspergilla; Aspergillin; Aspergillosis; Aspergils; Aspergilus; Autoantibodies; Autoantibody; Farmers lung; Fum; Immune globulin E; Immunoglobulin E; m003; m3; Point in time; PR; Radioallergosorbent test; Random; Serum; SmQn; SR,A fumigatus IgE RAST,Observation,,,,Aspergillus fumigatus IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),,,,,2533,0,,,,,,2.75,,A. fumigatus IgE RAST (S) [Presence]
