"loinc", "TFC", "TestName"
20662-3,10A,Allergy Profile 10
20662-3,10A,Allergy Profile 10
20662-3,10A,Allergy Profile 10
13307-4,10RF,HLA DQ alpha antigen
13307-4,10RF,HLA DQ alpha antigen
20662-3,11A,Allergy Profile 11
20662-3,11A,Allergy Profile 11
20662-3,11A,Allergy Profile 11
3167-4,11B1,24hr Urine Volume
17494-6,11B2,BPG2 concentration
14007-9,11BP,11 Beta-Prostaglandin F2 Alpha
14567-2,11DC,11deoxycort(lab value ug/L)
1657-6,11DE,11 Deoxycortisol
10334-1,125,CA125
10334-1,125,CA125
10334-1,125,CA125
1649-3,125D,1 25 hydroxy vitamin D
1649-3,125D,1 25 hydroxy vitamin D
1649-3,125D,1 25 hydroxy vitamin D
20662-3,12A,Allergy Profile 12
20662-3,12A,Allergy Profile 12
20662-3,12A,Allergy Profile 12
20662-3,13A,Allergy Profile 13
20662-3,13A,Allergy Profile 13
20662-3,13A,Allergy Profile 13
3238-3,13A,Allergy Profile 13
31989-7,1433,CSF 14-3-3
45162-5,157C,E.coli 0157 identification
19146-0,157R,E COLI 0157 REF LAB REPORT
76575-0,16SD,16S rRNA (Bacterial PCR)
66885-5,16SD,16S rRNA (Bacterial PCR)
14569-8,17OH,17 Hydroxyprogesterone
14569-8,17OH,17 Hydroxyprogesterone
14569-8,17OH,17 Hydroxyprogesterone
58931-7,19/5,CD19/CD5 percentage
58931-7,19/5,CD19/CD5 percentage
58931-7,19/5,CD19/CD5 percentage
8117-4,19P,CD19 percentage
20662-3,1A,Allergy Profile 1
49222-3,1A,Allergy Profile 1
49222-3,1BMI,Food Allergy Profile
59787-2,1CAT,Plasma Noradrenaline
14852-8,1CAT,Plasma Noradrenaline
4478-4,1Q,Complement C1q
4478-4,1Q,Complement C1q
LOC_ESO,1TH2,TH1:TH2 Cytokine Ratio
17781-6,21HY,Anti 21 Hydroxylase
30196-0,242R,C24:C22 ratio
14684-5,24CR,Creatinine / 24hrs
14684-5,24CR,Creatinine / 24hrs
14684-5,24CR,Creatinine / 24hrs
14635-7,25D2,25-hydroxy Vitamin D2
1649-3,25D3,25-hydroxy Vitamin D3
8117-4,25P,CD25 percentage
30198-6,262R,C26:C22 ratio
70051-8,2A,Allergy Profile 2
70051-8,2A,Allergy Profile 2
70051-8,2BMI,Inhalant Allergy Profile
57132-3,2C2,CYP 2C19 Genotype result:
66489-6,2C3,Predicted phenotype:
14711-6,2CAT,Plasma Adrenaline
14711-6,2CAT,Plasma Adrenaline
40425-1,2D61,Genotype:
40425-1,2D61,Genotype:
47403-1,2D62,Predicted Phenotype:
47403-1,2D62,Predicted Phenotype:
69354-9,2HIV,HIV-2 Viral load
7919-4,2HIV,HIV-2 Viral load
4680-5,2HR,PLEASE NOTE
8122-4,3A,Allergy Profile 3
49222-3,3A,Allergy Profile 3
49222-3,3AA,Allergy Profile 3
49222-3,3BMI,Food&Inhalant Allergy Profile
14703-3,3CAT,Plasma Dopamine
14703-3,3CAT,Plasma Dopamine
8124-0,3P,CD3 percentage
8124-0,3P,CD3 percentage
611-4,3WEE,3 Week Culture & Sensitivity
54218-3,48R,CD4:CD8 ratio
63486-5,4A,Allergy Profile 4
63486-5,4A,Allergy Profile 4
63486-5,4AA,Allergy Profile 4
20662-3,4BMI,Food Profile 20 Allergens
24467-3,4C3A,CD4/CD3 absolute
8123-2,4C3P,CD4/CD3 percentage
4532-8,50CH,Complement CH50
4532-8,50CH,Complement CH50
20662-3,5A,Allergy Profile 5
20662-3,5A,Allergy Profile 5
15057-3,5AD,5 Alpha Dihydrotestosterone
LOC_ESOGEN,5FUC,5FU Toxicity - common mutation
21669-7,5LEI,Factor V Leiden
21667-1,5LEI,Factor V Leiden
1690-7,5NT,5 Nucleotidase
8132-3,5P,CD5 percentage
600-7,67AC,Aerobic Interim Culture
58931-7,67E1,"   Day 1"
58931-7,67E1,"   Day 1"
58931-7,67E1,"   Day 1"
58931-7,67E2,"   Day 2"
58931-7,67E2,"   Day 2"
58931-7,67E2,"   Day 2"
58931-7,67E3,"   Day 3"
58931-7,67E3,"   Day 3"
58931-7,67E3,"   Day 3"
47292-8,67FG,Week 3 read 2
47292-8,67FG,Week 3 read 2
47292-8,67FG,Week 3 read 2
47292-8,67FG,Week 3 read 2
47292-8,67FG,Week 3 read 2
47292-8,67MR,Received by Mycology (HALO)
47292-8,67RG,==============================
47292-8,67RG,==============================
47292-8,67RG,==============================
LOC_ESO,67TD,Telephone details:
29636-8,68AP,Faecal Appearance
29636-8,68AP,Faecal Appearance
49614-1,68CA,Campylobacter PCR
49614-1,68CA,Campylobacter PCR
49614-1,68CA,Campylobacter PCR
60545-1,68CR,Cryptosporidium (OCP PCR)
60545-1,68CR,Cryptosporidium (OCP PCR)
60545-1,68CR,Cryptosporidium (OCP PCR)
60544-4,68GI,Giardia (OCP PCR)
60544-4,68GI,Giardia (OCP PCR)
60544-4,68GI,Giardia (OCP PCR)
47292-8,68S7,SAB Day 7
47292-8,68S7,SAB Day 7
47292-8,68S7,SAB Day 7
47292-8,68S7,SAB Day 7
49612-5,68SA,Salmonella PCR
49612-5,68SA,Salmonella PCR
49612-5,68SA,Salmonella PCR
46455-2,68SH,Shigella PCR
46455-2,68SH,Shigella PCR
46455-2,68SH,Shigella PCR
38990-8,68VT,ST E.coli PCR
38990-8,68VT,ST E.coli PCR
38990-8,68VT,ST E.coli PCR
20662-3,6A,Allergy Profile 6
20662-3,6A,Allergy Profile 6
20662-3,6A,Allergy Profile 6
19322-7,6MAM,"   6-Monoacetyl Morphine"
16196-8,6MAM,"   6-Monoacetyl Morphine"
7311-4,7A,Allergy Profile 7
7311-4,7A,Allergy Profile 7
7311-4,7A,Allergy Profile 7
20662-3,8A,Allergy Profile 8
20662-3,8A,Allergy Profile 8
14135-8,8C3A,CD8/CD3 absolute
14135-8,8C3P,CD8/CD3 percentage
20662-3,9A,Allergy Profile 9
20662-3,9A,Allergy Profile 9
20662-3,9A,Allergy Profile 9
42323-6,9RF,HLA DR antigen
42323-6,9RF,HLA DR antigen
13978-2,A1,"  Alpha 1 Globulins"
13978-2,A1,"  Alpha 1 Globulins"
13978-2,A1,"  Alpha 1 Globulins"
3174-0,A111,Antithrombin 111
3174-0,A111,Antithrombin 111
3174-0,A111,Antithrombin 111
3174-0,A111,Antithrombin 111
40824-5,A13A,ADAMTS-13 Activity Assay-Elisa
40824-5,A13A,ADAMTS-13 Activity Assay-Elisa
40824-5,A13A,ADAMTS-13 Activity Assay-Elisa
LOC_ESO,A1AG,Alpha 1 acid glycoprotein
2685-6,A1AG,Alpha 1 acid glycoprotein
1825-9,A1AT,Alpha-1-antitrypsin
1825-9,A1AT,Alpha-1-antitrypsin
1825-9,A1AT,Alpha-1-antitrypsin
1825-9,A1AT,Alpha-1-antitrypsin
1825-9,A1AT,Alpha-1-antitrypsin
59261-8,A1C,Haemoglobin A1c (IFCC)
59261-8,A1C,Haemoglobin A1c (IFCC)
13978-2,A1G,Alpha1 globulins %
13978-2,A1G,Alpha1 globulins %
13978-2,A1G,Alpha1 globulins %
2865-4,A1GG,Alpha-1-globulins
2865-4,A1GG,Alpha-1-globulins
LOC_ESOGEN,A1GT,Alpha-1-antitrypsin genotype
LOC_ESOGEN,A1GT,Alpha-1-antitrypsin genotype
13981-6,A2,"  Alpha 2 Globulins"
13981-6,A2,"  Alpha 2 Globulins"
13981-6,A2,"  Alpha 2 Globulins"
13981-6,A2G,Alpha-2-globulins %
2868-8,A2GG,Alpha-2-globulins
1835-8,A2MG,Alpha 2 Macroglobulin
1835-8,A2MG,Alpha 2 Macroglobulin
1869-7,AA1,Alanine
53979-1,AAA,PLEASE NOTE
26970-4,AAA8,Reticulin antibodies
6770-2,AAP,A-1-anti-trypsin phenotype
